,Algorithm,train_CV_accuracy,train_CV_accuracy_balanced,train_CV_f1,train_CV_f1_micro,train_CV_f1_macro,train_CV_f1_weighted,train_CV_roc_auc
18,VotingClassifier,0.8869999999999999,0.8318271927777052,0.7893445854800155,0.8870000000000001,0.8560362336361033,0.8813308761508262,0.9657470273517663
4,XGBClassifier,0.8643333333333334,0.822454089122453,0.7646261685158711,0.8643333333333334,0.8346167999945857,0.8611692882326306,0.941404552945315
15,LGBMClassifier,0.8709999999999999,0.8175542658600534,0.7634072502035103,0.8710000000000001,0.837318832008747,0.86535422968968,0.9440602749695793
3,XGBClassifier,0.8666666666666668,0.8153046366426816,0.7594255358849815,0.8666666666666668,0.8335739272013802,0.8616959205640692,0.937639382898214
5,XGBClassifier,0.8566666666666667,0.8003303315657643,0.7375897891254387,0.8566666666666667,0.8194416720793793,0.8505032921187435,0.9272204704480675
10,LGBMClassifier,0.8560000000000001,0.7993031639742052,0.7360419920969336,0.8560000000000001,0.8184951241624765,0.8497727550965545,0.9306308138141505
6,XGBClassifier,0.8556666666666667,0.7981595684001038,0.7350749788945861,0.8556666666666667,0.8179252157346062,0.8493561397511415,0.9297205879179614
8,XGBClassifier,0.8563333333333333,0.7921517341694979,0.7283622511024264,0.8563333333333333,0.8153345721212808,0.848329597825679,0.9350883837152292
14,LGBMClassifier,0.85,0.7751643360628947,0.7043174017914381,0.85,0.8018914787712872,0.8388997224866858,0.9332095878267646
13,LGBMClassifier,0.8453333333333333,0.7723612296942732,0.6981039185839106,0.8453333333333333,0.7970398751619956,0.8345738573055407,0.9328398251129464
11,LGBMClassifier,0.8466666666666669,0.770971316732946,0.696995638665295,0.8466666666666669,0.797158702644851,0.8351554795286662,0.9320377860652129
0,XGBClassifier,0.8406666666666667,0.757180630153901,0.6754016674326978,0.8406666666666667,0.784880984840436,0.8264031254553765,0.9267956787625087
12,LGBMClassifier,0.8283333333333334,0.7372985667621352,0.6413131791584884,0.8283333333333334,0.7642103159250293,0.810831349154367,0.923791035474556
1,XGBClassifier,0.8066666666666666,0.7139225170939218,0.5999063383371264,0.8066666666666666,0.7361987971986055,0.7878943903255987,0.8950607026683699
9,LGBMClassifier,0.8116666666666668,0.7104099542641602,0.5925553701762175,0.8116666666666668,0.7350158360797036,0.7890726944583438,0.9068665807363259
17,LGBMClassifier,0.8123333333333334,0.7076338705315555,0.5862668532154239,0.8123333333333334,0.7324252672055064,0.7878918507791586,0.9081722278937191
2,XGBClassifier,0.786,0.6646463033262485,0.49909879416885977,0.786,0.6814978066055832,0.7506965044747816,0.8862929635742679
7,XGBClassifier,0.7006666666666665,0.5180151459388127,0.07007416704165019,0.7006666666666665,0.44584547913212547,0.5883922162337017,0.8525768798474573
16,LGBMClassifier,0.6896666666666665,0.5,0.0,0.6896666666666665,0.40816708375236804,0.5629991658285972,0.6818789372064372
